Site,Date,Turbidity,Temp,DO,SPC,pH,Cl,Prev_rain_cm,Rain_cm,E_coli_MPN,Total_Coliforms,Flow_min,Flow_mean,Flow_max,Max_Min,Site_Name,Coordinates,lat,lon,Mean,Median,Min,Max,,Site_Name,Turbidity,Temp,DO,SPC,pH,,Site_Name,Percent_Exceedance,,Km
Elm Grove Park,2020.05.19,9.9,20.1,10.22,426.2,8.47,12.12,1.5748,0.0254,109,2187,399,521,660,261,,,,,,,,,,,,,,,,,,,,
Junior Ave,2020.05.19,8.155,20.1,10.68,428.6,8.52,13.14,1.5748,0.0254,135,2142,399,521,660,261,,,,,,,,,,,,,,,,,,,,
Washington Ave,2020.05.19,12.55,19.4,10.33,366.7,8.49,17,1.5748,0.0254,683,7701,399,521,660,261,,,,,,,,,,,,,,,,,,,,
Kroger,2020.05.19,16.8,19.4,8.63,458,8.45,20.37,1.5748,0.0254,776,14136,399,521,660,261,,,,,,,,,,,,,,,,,,,,
Fulton,2020.05.19,17.425,19.3,9.57,453.8,8.48,20.47,1.5748,0.0254,816,12997,399,521,660,261,,,,,,,,,,,,,,,,,,,,
Tunnel Green,2020.05.19,17.225,19.4,7.51,458.2,8.43,20.79,1.5748,0.0254,794,12033,399,521,660,261,,,,,,,,,,,,,,,,,,,,
Mouth,2020.05.19,36.425,19,7.31,449.1,8.27,19.96,1.5748,0.0254,1515,24196,399,521,660,261,,,,,,,,,,,,,,,,,,,,
Ranch Bar,2020.05.26,18.55,22.6,6.71,425.5,7.88,27,0,0.00254,86,3255,362,492,773,411,,,,,,,,,,,,,,,,,,,,
Cricket Hollow,2020.05.26,24.094,22.8,9.64,425.4,8.04,14.21,0,0.00254,31,1989,362,492,773,411,,,,,,,,,,,,,,,,,,,,
Grandstaff Run,2020.05.26,6.7675,23.8,8.08,412.9,8.1,13.3,0,0.00254,41,2700,362,492,773,411,,,,,,,,,,,,,,,,,,,,
Britt's Run,2020.05.26,9.62,24.4,8.27,418.7,8.18,15.2,0,0.00254,52,1935,362,492,773,411,,,,,,,,,,,,,,,,,,,,
County Line Bridge,2020.05.26,7.8325,25.1,9.72,416.1,8.38,14.98,0,0.00254,20,2310,362,492,773,411,,,,,,,,,,,,,,,,,,,,
Elm Grove Park,2020.05.26,7.46,25.2,9.6,417.3,8.31,13.85,0,0.00254,120,2603,362,492,773,411,,,,,,,,,,,,,,,,,,,,
Junior Ave,2020.05.26,7.5675,25.3,9.81,419.7,8.22,12.88,0,0.00254,97,2282,362,492,773,411,,,,,,,,,,,,,,,,,,,,
Washington Ave,2020.05.26,6.3225,25.6,8.94,441.3,8.19,7.76,0,0.00254,108,2851,362,492,773,411,,,,,,,,,,,,,,,,,,,,
Kroger,2020.05.26,9.795,25.4,8.74,442.5,8.22,17.99,0,0.00254,110,2495,362,492,773,411,,,,,,,,,,,,,,,,,,,,
Fulton,2020.05.26,7.3075,25.5,8.59,444.6,8.18,18.31,0,0.00254,122,2613,362,492,773,411,,,,,,,,,,,,,,,,,,,,
Tunnel Green,2020.05.26,8.7225,25.3,6.91,458.1,8.19,20.57,0,0.00254,2142,5794,362,492,773,411,,,,,,,,,,,,,,,,,,,,
Mouth,2020.05.26,14.95,23.7,7.31,459.7,8.18,19.37,0,0.00254,168,3654,362,492,773,411,,,,,,,,,,,,,,,,,,,,
Ranch Bar,2020.06.02,13.65,18.9,9.19,399.9,7.82,,0.0254,0.00254,31,4352,307,618,2090,1783,,,,,,,,,,,,,,,,,,,,
Cricket Hollow,2020.06.02,8.77,18,12.01,397.6,8.17,,0.0254,0.00254,41,3784,307,618,2090,1783,,,,,,,,,,,,,,,,,,,,
Grandstaff Run,2020.06.02,5.33,19.7,11.33,388.1,8.22,,0.0254,0.00254,31,7701,307,618,2090,1783,,,,,,,,,,,,,,,,,,,,
Britt's Run,2020.06.02,11.925,20.4,11.31,390.3,8.3,,0.0254,0.00254,41,4352,307,618,2090,1783,,,,,,,,,,,,,,,,,,,,
County Line Bridge,2020.06.02,20.675,21.2,11.81,387.7,8.49,,0.0254,0.00254,109,9208,307,618,2090,1783,,,,,,,,,,,,,,,,,,,,
Elm Grove Park,2020.06.02,11.25,21.4,11.33,388.3,8.48,,0.0254,0.00254,73,7701,307,618,2090,1783,,,,,,,,,,,,,,,,,,,,
Junior Ave,2020.06.02,9.3725,21.3,11.73,391.9,8.41,,0.0254,0.00254,20,8164,307,618,2090,1783,,,,,,,,,,,,,,,,,,,,
Washington Ave,2020.06.02,7.345,20.9,11.34,403.6,8.3,,0.0254,0.00254,1259,10462,307,618,2090,1783,,,,,,,,,,,,,,,,,,,,
Kroger,2020.06.02,9.2175,21.1,10.1,416.7,8.41,,0.0254,0.00254,683,10462,307,618,2090,1783,,,,,,,,,,,,,,,,,,,,
Fulton,2020.06.02,8.5875,21.2,10.99,421.7,8.3,,0.0254,0.00254,146,12997,307,618,2090,1783,,,,,,,,,,,,,,,,,,,,
Tunnel Green,2020.06.02,11.6,20.8,9.6,423.6,8.28,,0.0254,0.00254,173,12033,307,618,2090,1783,,,,,,,,,,,,,,,,,,,,
Mouth,2020.06.02,157,19.9,9.02,428.8,8.08,,0.0254,0.00254,238,9804,307,618,2090,1783,,,,,,,,,,,,,,,,,,,,
Ranch Bar,2020.06.09,11.1,22.9,9.17,462.1,,,0,1.9558,10,6488,217,336,547,330,,,,,,,,,,,,,,,,,,,,
Cricket Hollow,2020.06.09,8.825,23.7,10.03,438.2,,,0,1.9558,31,19863,217,336,547,330,,,,,,,,,,,,,,,,,,,,
Grandstaff Run,2020.06.09,5.055,24.1,9.34,448.5,,,0,1.9558,10,12033,217,336,547,330,,,,,,,,,,,,,,,,,,,,
Britt's Run,2020.06.09,9.445,24.7,9.45,463.5,,,0,1.9558,52,15531,217,336,547,330,,,,,,,,,,,,,,,,,,,,
County Line Bridge,2020.06.09,6.6125,25.5,10.1,453.3,,,0,1.9558,63,14136,217,336,547,330,,,,,,,,,,,,,,,,,,,,
Elm Grove Park,2020.06.09,7.7825,24.7,9.21,459.2,,,0,1.9558,134,15531,217,336,547,330,,,,,,,,,,,,,,,,,,,,
Junior Ave,2020.06.09,7.69,24.9,9.53,463.8,,,0,1.9558,85,9208,217,336,547,330,,,,,,,,,,,,,,,,,,,,
Washington Ave,2020.06.09,5.4725,25.2,10.85,475.7,,,0,1.9558,305,15531,217,336,547,330,,,,,,,,,,,,,,,,,,,,
Kroger,2020.06.09,10.01,24.6,9.32,482.7,,,0,1.9558,155,7701,217,336,547,330,,,,,,,,,,,,,,,,,,,,
Fulton,2020.06.09,8.085,24.6,8.41,488,,,0,1.9558,171,8164,217,336,547,330,,,,,,,,,,,,,,,,,,,,
Tunnel Green,2020.06.09,7.3225,24.4,10.03,491.7,,,0,1.9558,31,4352,217,336,547,330,,,,,,,,,,,,,,,,,,,,
Mouth,2020.06.09,51.85,22.8,7.44,490.6,,,0,1.9558,148,6867,217,336,547,330,,,,,,,,,,,,,,,,,,,,
Ranch Bar,2020.06.16,11.4,21.4,8.57,510,8.29,27.8,0,0.00254,52,4611,58,101,277,219,,,,,,,,,,,,,,,,,,,,
Cricket Hollow,2020.06.16,10.9375,21.8,8.71,505.4,8.31,29.1,0,0.00254,20,5794,58,101,277,219,,,,,,,,,,,,,,,,,,,,
Grandstaff Run,2020.06.16,7.69,21.9,9.23,475.8,8.39,26.17,0,0.00254,10,7270,58,101,277,219,,,,,,,,,,,,,,,,,,,,
Britt's Run,2020.06.16,8.39,22.3,8.46,480.7,8.4,26.28,0,0.00254,31,6867,58,101,277,219,,,,,,,,,,,,,,,,,,,,
County Line Bridge,2020.06.16,8.1225,24.1,9.71,494.6,8.39,23.4,0,0.00254,52,4611,58,101,277,219,,,,,,,,,,,,,,,,,,,,
Elm Grove Park,2020.06.16,8.7325,22.9,9.61,458.2,8.31,20.02,0,0.00254,97,7701,58,101,277,219,,,,,,,,,,,,,,,,,,,,
Junior Ave,2020.06.16,10.3575,23.2,9.95,500.5,8.41,24.83,0,0.00254,110,6867,58,101,277,219,,,,,,,,,,,,,,,,,,,,
Washington Ave,2020.06.16,7.415,24,11.19,511,8.55,33.18,0,0.00254,279,5172,58,101,277,219,,,,,,,,,,,,,,,,,,,,
Kroger,2020.06.16,23.25,22.6,8.83,521.5,8.52,36.47,0,0.00254,323,8164,58,101,277,219,,,,,,,,,,,,,,,,,,,,
Fulton,2020.06.16,7.675,22.2,9.53,529,8.48,33.21,0,0.00254,75,4106,58,101,277,219,,,,,,,,,,,,,,,,,,,,
Tunnel Green,2020.06.16,9.28,22.5,9.25,515.7,8.48,37.77,0,0.00254,120,5475,58,101,277,219,,,,,,,,,,,,,,,,,,,,
Mouth,2020.06.16,6.865,24.8,6.73,354.5,8.4,34.77,0,0.00254,41,1187,58,101,277,219,,,,,,,,,,,,,,,,,,,,
Ranch Bar,2020.06.30,10.03,23,9.12,562,8.34,30.75,0.1778,0.2286,85,7701,40,73,131,91,,,,,,,,,,,,,,,,,,,,
Cricket Hollow,2020.06.30,9.555,23.9,9.58,617,8.42,22.32,0.1778,0.2286,85,12997,40,73,131,91,,,,,,,,,,,,,,,,,,,,
Grandstaff Run,2020.06.30,5.335,23.5,7.75,431.6,8.23,14.09,0.1778,0.2286,109,8664,40,73,131,91,,,,,,,,,,,,,,,,,,,,
Britt's Run,2020.06.30,8.95,23.8,8.74,502.6,8.39,20.06,0.1778,0.2286,156,15531,40,73,131,91,,,,,,,,,,,,,,,,,,,,
County Line Bridge,2020.06.30,5.41,25.6,9.68,604,8.63,20.12,0.1778,0.2286,131,9804,40,73,131,91,,,,,,,,,,,,,,,,,,,,
Elm Grove Park,2020.06.30,5.22,23.9,7.51,499.4,8.34,18.41,0.1778,0.2286,292,12033,40,73,131,91,,,,,,,,,,,,,,,,,,,,
Junior Ave,2020.06.30,7.13,24.6,9.46,499.4,8.47,19.82,0.1778,0.2286,244,14540,40,73,131,91,,,,,,,,,,,,,,,,,,,,
Washington Ave,2020.06.30,6.205,25.2,9.69,503,8.49,20.62,0.1778,0.2286,320,14540,40,73,131,91,,,,,,,,,,,,,,,,,,,,
Kroger,2020.06.30,17.5,24.2,8.22,506.4,8.47,21.15,0.1778,0.2286,218,15402,40,73,131,91,,,,,,,,,,,,,,,,,,,,
Fulton,2020.06.30,5.07,24,8.73,570,8.44,21.58,0.1778,0.2286,336,10950,40,73,131,91,,,,,,,,,,,,,,,,,,,,
Tunnel Green,2020.06.30,5.78,24.3,7.92,520,8.32,21.56,0.1778,0.2286,220,13734,40,73,131,91,,,,,,,,,,,,,,,,,,,,
Mouth,2020.06.30,68.7,25.5,6.15,424.6,7.83,22.96,0.1778,0.2286,170,3446,40,73,131,91,,,,,,,,,,,,,,,,,,,,
Ranch Bar,2020.07.07,12.5,27.1,7.07,501,8.23,19.06,0.0254,0,41,24196,21,81,298,277,,,,,,,,,,,,,,,,,,,,
Cricket Hollow,2020.07.07,10.23,28.4,6.69,469.8,8.32,18.41,0.0254,0,10,24196,21,81,298,277,,,,,,,,,,,,,,,,,,,,
Grandstaff Run,2020.07.07,9.4625,26.9,7.38,470.9,8.28,17.35,0.0254,0,20,24196,21,81,298,277,,,,,,,,,,,,,,,,,,,,
Britt's Run,2020.07.07,7.26,27.2,6.57,470.9,8.31,16.87,0.0254,0,31,24196,21,81,298,277,,,,,,,,,,,,,,,,,,,,
County Line Bridge,2020.07.07,8.85,29.1,7.91,473,8.37,17.17,0.0254,0,52,19863,21,81,298,277,,,,,,,,,,,,,,,,,,,,
Elm Grove Park,2020.07.07,13.75,28.2,6.3,409,8.1,18.2,0.0254,0,303,24196,21,81,298,277,,,,,,,,,,,,,,,,,,,,
Junior Ave,2020.07.07,9.5275,27.2,8.37,509,8.33,22.48,0.0254,0,386,48392,21,81,298,277,,,,,,,,,,,,,,,,,,,,
Washington Ave,2020.07.07,4.625,29.4,8.98,525,8.48,23.77,0.0254,0,244,39726,21,81,298,277,,,,,,,,,,,,,,,,,,,,
Kroger,2020.07.07,23.45,28.3,7.82,522,8.46,23.9,0.0254,0,1552,24066,21,81,298,277,,,,,,,,,,,,,,,,,,,,
Fulton,2020.07.07,9.2425,28.1,8.5,537,8.46,25.4,0.0254,0,150,12262,21,81,298,277,,,,,,,,,,,,,,,,,,,,
Tunnel Green,2020.07.07,8.2425,28.7,7.64,548,8.32,25.46,0.0254,0,462,12262,21,81,298,277,,,,,,,,,,,,,,,,,,,,
Mouth,2020.07.07,11.7675,29.5,5.22,501,8.06,24.5,0.0254,0,242,9222,21,81,298,277,,,,,,,,,,,,,,,,,,,,
